105.293,21.145,"[105.293,21.145],"
105.281,21.161,"[105.281,21.161],"
105.281,21.168,"[105.281,21.168],"
105.283,21.17,"[105.283,21.17],"
105.288,21.17,"[105.288,21.17],"
105.29,21.175,"[105.29,21.175],"
105.293,21.177,"[105.293,21.177],"
105.301,21.195,"[105.301,21.195],"
105.322,21.206,"[105.322,21.206],"
105.335,21.209,"[105.335,21.209],"
105.344,21.228,"[105.344,21.228],"
105.351,21.251,"[105.351,21.251],"
105.352,21.277,"[105.352,21.277],"
105.349,21.291,"[105.349,21.291],"
105.349,21.3,"[105.349,21.3],"
105.367,21.311,"[105.367,21.311],"
105.383,21.311,"[105.383,21.311],"
105.402,21.307,"[105.402,21.307],"
105.436,21.292,"[105.436,21.292],"
105.441,21.288,"[105.441,21.288],"
105.446,21.276,"[105.446,21.276],"
105.45,21.245,"[105.45,21.245],"
105.454,21.242,"[105.454,21.242],"
105.465,21.222,"[105.465,21.222],"
105.468,21.204,"[105.468,21.204],"
105.471,21.201,"[105.471,21.201],"
105.474,21.183,"[105.474,21.183],"
105.473,21.178,"[105.473,21.178],"
105.497,21.163,"[105.497,21.163],"
105.516,21.16,"[105.516,21.16],"
105.553,21.161,"[105.553,21.161],"
105.566,21.163,"[105.566,21.163],"
105.572,21.165,"[105.572,21.165],"
105.575,21.168,"[105.575,21.168],"
105.62,21.179,"[105.62,21.179],"
105.622,21.184,"[105.622,21.184],"
105.621,21.191,"[105.621,21.191],"
105.618,21.193,"[105.618,21.193],"
105.618,21.197,"[105.618,21.197],"
105.613,21.2,"[105.613,21.2],"
105.611,21.208,"[105.611,21.208],"
105.614,21.212,"[105.614,21.212],"
105.621,21.211,"[105.621,21.211],"
105.627,21.215,"[105.627,21.215],"
105.632,21.214,"[105.632,21.214],"
105.632,21.219,"[105.632,21.219],"
105.635,21.222,"[105.635,21.222],"
105.639,21.222,"[105.639,21.222],"
105.644,21.219,"[105.644,21.219],"
105.652,21.222,"[105.652,21.222],"
105.642,21.224,"[105.642,21.224],"
105.64,21.231,"[105.64,21.231],"
105.641,21.237,"[105.641,21.237],"
105.649,21.242,"[105.649,21.242],"
105.654,21.242,"[105.654,21.242],"
